name,is_log,avg,stddev
distinct_domains_stats.consonant_cluster_count,True,0.07498898982873778,0.30281794929676015
distinct_domains_stats.consonant_cluster_length.average,False,0.21386621114526494,0.7860392869625413
distinct_domains_stats.consonant_cluster_length.maximum,True,0.09843553918825959,0.36111378620679313
distinct_domains_stats.consonant_cluster_length.std_dev,False,0.0030616385247743817,0.042237769304992505
distinct_domains_stats.count,True,0.09985497688175458,0.3341675712199465
distinct_domains_stats.length.average,False,1.536915282338726,4.7492201857601035
distinct_domains_stats.length.maximum,True,0.2874229535537584,0.8590031687287922
distinct_domains_stats.length.std_dev,False,0.11818769168710273,0.7113430218927411
distinct_domains_stats.nonalpha_fraction,False,0.01140086972182475,0.03623347248379319
distinct_domains_stats.weird_combination_rate,False,0.000783538515673649,0.026235934471562437
distinct_ip_address_count,True,0.0,0.0
distinct_visible_words_rate,False,0.9344078957884777,0.13731926309937945
fraction_visible_text,False,0.611666813603122,0.1356088217649411
gunning_fog_index,False,12.13751620968972,6.883741880318953
html_specific_stats.fraction_link_text,False,0.00516244398624665,0.04016019824763609
html_specific_stats.img_count,True,0.02589696848137621,0.1978368079691955
html_specific_stats.link_count,True,0.05751040733094959,0.3081697544162407
html_specific_stats.link_text_nonalpha_fraction,False,0.008398764448018795,0.044164496413704714
html_specific_stats.link_url_length.average,False,2.7258319788875016,14.209469819516197
html_specific_stats.link_url_length.maximum,True,0.1954786566024418,0.8783278208782471
html_specific_stats.link_url_length.std_dev,False,0.35282269633184066,3.3009843042037534
html_specific_stats.outer_img_ratio,False,0.02195378151260504,0.14653263455593843
html_specific_stats.outer_link_ratio,False,0.04283508160636253,0.20075629626106947
html_specific_stats.title_word_count,True,0.0,0.0
meta_domain_dot_count,False,0.0,0.0
meta_domain_length,False,0.0,0.0
meta_domain_whitelisted,False,0.0,0.0
meta_fraction_nonalpha_in_domain,False,0.0,0.0
meta_fraction_nonalpha_in_url,False,0.0,0.0
meta_url_length,False,0.0,0.0
nonascii_ratio,False,0.0012912024044507797,0.01496165982433267
raw_text_compression_rate,False,1.2073853154606742,0.29132070804441557
raw_text_entropy,False,3.162216853262157,0.11017168329566318
raw_text_length,True,4.901960388496784,1.0269296919202817
raw_word_count,True,2.921076993105121,1.090897256788076
raw_word_length.average,False,5.040581166627731,0.779902834173698
raw_word_length.maximum,True,2.368089771104306,0.22429100758474382
raw_word_length.std_dev,False,2.167616327732024,0.5910771728655217
raw_words_entropy,False,2.581220143560797,0.8348918605013866
sentence_count,True,1.2626429172165887,0.5976765463589365
visible_alpha_block_length.average,False,23.36166530852336,12.538079124781888
visible_alpha_block_length.maximum,True,3.503925799232445,0.5655369777954314
visible_alpha_block_length.std_dev,False,8.229862785870813,8.736696104028077
visible_consonant_cluster_count,True,0.7903041402595165,0.9170417345044746
visible_consonant_cluster_length.average,False,1.9285459575099952,1.5087347017569677
visible_consonant_cluster_length.maximum,True,0.8961252246868402,0.6983484645698015
visible_consonant_cluster_length.std_dev,False,0.03670933982058817,0.1265716349313975
visible_nonalpha_block_length.average,False,1.0161277496675638,0.9218004452678952
visible_nonalpha_block_length.maximum,True,0.7462730663386277,0.572183354415972
visible_nonalpha_block_length.std_dev,False,0.22259850767992484,0.8076918568976258
visible_text_compression_rate,False,1.5381804758815223,0.5517397596793383
visible_text_entropy,False,2.874945187473131,0.1731987453508584
visible_text_length,True,4.391385531518929,1.1322473442203564
visible_text_nonalpha_fraction,False,0.17585624506261244,0.0486926976638014
visible_text_weird_combination_rate,False,0.0017712898681894699,0.006611703777018347
visible_word_count,True,2.62262772363666,1.1330944630511062
visible_word_length.average,False,5.3962341051310565,1.1428077101173824
visible_word_length.maximum,True,2.3633276831173986,0.21869425500599496
visible_word_length.std_dev,False,2.317014177890946,0.6770861331264101
visible_word_syllable_count.average,False,1.894861311006351,0.4196027854331755
visible_word_syllable_count.maximum,True,1.5086523103934615,0.2222491287531239
visible_word_syllable_count.std_dev,False,0.8665973752088391,0.27920468758346206
visible_words_entropy,False,2.386396612412615,0.9235849515819036
